domain,logo
indeed.com,https://indeed.com/favicon.ico
ask.com,https://www.ask.com/
shopify.com,https://cdn.shopify.com/shopifycloud/brochure/assets/brand-assets/shopify-logo-primary-logo-456baa801ee66a0a435671082365958316831c9960c480451dd0330bcdae304f.svg
surveymonkey.com,https://prod.smassets.net/assets/static/images/surveymonkey/surveymonkey-seo-logo.png
twitter.com,
bing.com,https://bing.com/sa/simg/favicon-trans-bg-blue-mg-png.png
comcast.com,
sprint.com,https://sprint.com/favicon.ico
facebook.com,https://static.xx.fbcdn.net/rsrc.php/yx/r/e9sqr8WnkCf.ico
godaddy.com,https://godaddy.com/favicon.ico
whitepages.com,https://whitepages.com/favicon.ico
lg.com,https://lg.com/content/dam/lge/common/logo/logo-lg-100-44.svg
go.com,https://lumiere-a.akamaihd.net/v1/images/favicon-94e3862e7fb9_2bdfd7d9.png
verizon.com,https://verizon.com/favicon.ico
aol.com,https://s.yimg.com/cv/apiv2/aolfp/images/favicon/v3/120.png
timewarnercable.com,https://timewarnercable.com/favicon.ico
t-mobile.com,https://www.t-mobile.com/content/dam/t-mobile/ntm/branding/logos/corporate/tmo-logo-v4.svg
verizonwireless.com,https://verizonwireless.com/favicon.ico
intelius.com,https://intelius.com/favicon.ico
conduit.com,
att.com,https://www.att.com/ecms/dam/att/consumer/global/logos/att_globe_500x500.jpg
shareasale.com,https://www.shareasale.com/info/wp-content/uploads/2020/10/cropped-SAS-Star-512x512px-2-2-192x192.png
directv.com,https://www.directv.com/dtvassets/logos/DIRECTV-1200x628.png
wix.com,"https://static.wixstatic.com/media/9ab0d1_2ff5ca18550e405ea1844e52afaff120~mv2.jpg/v1/fill/w_333,h_154,al_c,lg_1,q_80,enc_auto/Wix%20logo%20white%20BG.jpg"
constantcontact.com,https://constantcontact.com/favicon.ico
about.com,https://about.com/favicon/apple-touch-icon.png
spokeo.com,https://www.spokeo.com/assets/v10/shared/spokeo_logo.png
hubspot.com,https://www.hubspot.com/hubfs/HubSpot_Logos/HubSpot-Inversed-Favicon.png
zoho.com,https://www.zohowebstatic.com/sites/zweb/images/favicon.ico
mediaplex.com,
peoplefinders.com,https://peoplefinders.com/favicon.ico
webs.com,https://swan.prod.merch.vpsvc.com/v3-assets/favicons/apple-icon-152x152.png
dish.com,https://dish.com/content/dam/dish/navelements/dishLogo.svg
reachlocal.com,https://localiq.com/reachlocal-is-now-localiq/
blackberry.com,https://blackberry.com/etc.clientlibs/blackberry/clientlibs/clientlib-core/resources/blackberry/apple-touch-icon.png
hostgator.com,https://hostgator.com/hg_files/apple-touch-icon.png
bizrate.com,https://bizrate.com/static/local/mobile/images/apple-touch-icon.png
box.com,https://box.com/themes/custom/box/favicons/favicon-96x96.png
qualcomm.com,https://qualcomm.com/etc.clientlibs/qcomm-martech/clientlibs/clientlib-react/resources/favicon/qualcomm/favicon.png
rackspace.com,https://www.rackspace.com/sites/default/files/2020-12/apple-touch-icon-precomposed.png
cox.com,https://cox.com/favicon.ico
exacttarget.com,https://exacttarget.com/c2/public/app/favicon.ico
charter.com,https://charter.com/favicon.ico
spiceworks.com,https://www.spiceworks.com/
centurylink.com,https://centurylink.com/favicon.ico
verticalresponse.com,https://verticalresponse.com/wp-content/uploads/2021/03/VRLogoTag.2C.png
zagg.com,https://cdn11.bigcommerce.com/s-uv4dd6xvbk/images/stencil/original/zagg-logo-3x_1720645208__33925.original.png
msn.com,https://msn.com/favicon.ico
webex.com,https://webex.com/content/dam/wbx/global/images/webex-favicon.png
metropcs.com,https://www.metrobyt-mobile.com/content/dam/digx/metro/us/en/branding/logos/corporate/metro-d-light-2022.svg
sulekha.com,https://sulekha.com/favicon.ico
alot.com,https://alot.com/assets/img/Alot/favicon.ico
virginmobileusa.com,
avaya.com,https://avaya.com/etc.clientlibs/aem-avaya-portal/clientlibs/clientlib-site/resources/images/favicon.png
formstack.com,https://www.formstack.com/images/formstack-logo.svg
otterbox.com,https://www.otterbox.com/on/demandware.static/Sites-ob_us-Site/-/en_US/v1748527263620/images/logo.png
jawbone.com,https://www.jawbone.com
bigcommerce.com,https://www-cdn.bigcommerce.com/assets/logos/bc-logo-dark.svg
networksolutions.com,https://networksolutions.com/favicon.ico
rakuten.co.jp,https://r.r10s.jp/com/inc/home/20080930/spt/common/img/20180701_logo_knowledgegraph_w200_h200.gif
gotomeeting.com,https://gotomeeting.com/-/media/images/shared/logos/goto/goat-favicon.ico
vonage.com,https://vonage.com/favicon.ico
mitel.com,https://mitel.com/favicon.ico
icontact.com,https://www.icontact.com/wp-content/uploads/2024/05/icontact-messagebuilder-for-salesforce.png
univision.com,https://st1.uvnimg.com/c1/e7/b418a1da4dc8868294190bfb047e/logo-univision.png
bluehost.com,https://bluehost.com/favicon.ico
nokia.com,https://www.nokia.com/themes/custom/onenokia_reskin/logo.svg
ringcentral.com,https://www.ringcentral.com/content/dam/rc-www/en_us/images/ringcentral-logo.png
ning.com,https://www.ning.com/wp-content/uploads/2018/03/cropped-n_flavicon-180x180.png
8x8.com,https://cpaas.8x8.com/wp-content/uploads/2024/05/Icon-1.png
business.com,https://www.business.com/images/branding/logos/block_monogram_navy.jpg
riverbed.com,https://www.riverbed.com/
paltalk.com,https://paltalk.com/favicon.ico
atdmt.com,
yandex.ru,https://yandex.ru/favicon.ico
mycricket.com,https://mycricket.com/favicon.ico
sharefile.com,https://sharefile.com/sites/default/files/favicon.ico
bluejeans.com,
sonymobile.com,https://sony.scene7.com/is/image/sonyglobalsolutions/apple-touch-icon-114x114
animoto.com,https://cdn.sanity.io/images/xcatvyn0/production/c46908ba92d121a390cdeeef240d17e5b70f964e-145x31.svg
campusexplorer.com,https://campusexplorer.com/favicon.ico
vzw.com,https://vzw.com/favicon.ico
mail.com,https://s.uicdn.com/mailint/10.48.0/assets/favicon.ico
getsatisfaction.com,https://getsatisfaction.com/favicon.ico
uscellular.com,https://uscellular.com/favicon.ico
marinsoftware.com,https://cdn.prod.website-files.com/60ffbc3a211dee0d1874db96/651da9d42e3649d65259ce9f_marin-favicon.png
gotowebinar.com,https://gotowebinar.com/-/media/images/shared/logos/goto/goat-favicon.ico
rebtel.com,https://rebtel.com/favicon.ico
hughesnet.com,https://hughesnet.com/favicon.ico
peoplesmart.com,https://peoplesmart.com/favicon.ico
aweber.com,https://assets.aweber-static.com/www/assets/img/aw-logo.png
mimecast.com,https://assets.mimecast.com/api/public/content/aac7c7d3363d4892b9f909aa59250d04
megapath.com,
neat.com,https://neat.com/favicon.ico
swagbucks.com,https://static.prdg.io/dist-non-modules/images/apple-touch-icon-152x152.f4af3e0bc0bb41b345bf.png
bmc.com,
secureserver.net,https://secureserver.net/favicon.ico
motorola.com,https://motorola.com/favicon.ico
greatcall.com,https://greatcall.com/favicon.ico
register.com,https://www.register.com/content/dam/register/favicons/apple-icon-precomposed.png
skype.com,
sproutsocial.com,https://brandfolder.sproutsocial.com/VXTUTVL1/at/8vwz9b7w83rhgfc8xvm8t8/lgo_sprout_lockup.png
rdio.com,
naver.com,https://s.pstatic.net/static/www/u/2014/0328/mma_204243574.png
weebly.com,https://cdn2.editmysite.com/images/logos/Blue-Logomark2.png
terra.com,https://terra.com/favicon.ico
boingo.com,https://corpsitev2-golden-prod.s3.amazonaws.com/wp-content/uploads/2023/03/cropped-boingo-192x192.png
airpush.com,https://airpush.com/favicon.ico
vpweb.com,https://swan.prod.merch.vpsvc.com/v3-assets/favicons/apple-icon-152x152.png
1and1.com,https://www.ionos.com/modules/frontend-skin-thunder/img/components/header/vi-logo.png
nextiva.com,https://www.nextiva.com/
tradedoubler.com,https://static.wixstatic.com/media/0241cd_a4ce8eb0347a4685a6cd906881337d6a%7Emv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/0241cd_a4ce8eb0347a4685a6cd906881337d6a%7Emv2.png
sugarsync.com,https://sugarsync.com/assets/img/favicons/apple-touch-icon-55dc9a65a0.png
about.me,https://about.me/s3/h/favicon/favicon_180.60004a0b.png
mylife.com,
efax.com,https://www.efax.com/
live.com,https://live.com/favicon.ico
plantronics.com,https://plantronics.com/favicon.ico
teamtreehouse.com,https://ecs-static.teamtreehouse.com/assets/apple-touch-icon-120x120-precomposed-dda60d87f49aa928ff86379bb50d9514d4b5f19502ff562b453e3d254730f682.png
dishnetwork.com,https://dish.com/content/dam/dish/navelements/dishLogo.svg
whatcounts.com,https://whatcounts.com/favicon.ico
one.com,https://webapps.group-cdn.one/cdn-one/images/global/favicon/120.png
readytalk.com,https://www.readytalk.com/
ifbyphone.com,https://cdn.prod.website-files.com/5d82e225060d003d65ddae98/60a6cc41312729f2e1360120_invoca-glyph.png
kudzu.com,
zinio.com,https://admin-project-assets.ziniopro.com/99/20190516161716-Zinio_WebTopNavLogo.png
compete.com,https://files.efty.com/market/uploads/smartlanders/f1c7854c36f014676ea28fb3fc2cb56f_fav.png
semrush.com,https://www.semrush.com/__static__/semrush-logo-700.jpg
fonality.com,https://sangoma.com/wp-content/uploads/2024/05/cropped-favicon-180x180.png
ussearch.com,https://ussearch.com/favicon.ico
name.com,https://name.com/favicon.ico
altova.com,https://www.altova.com/images/logo.png
android.com,https://android.com/static/img/favicons/180.png
jimdo.com,https://jimdo.com/icons/apple-touch-icon-167x167.png
baidu.com,
globo.com,https://s2-home-globo.glbimg.com/xmG336eFwj2EHo7Ei-N_2Tm_b0s=/192x192/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_9de6fd454d9849c8bee5b63069fbb074/internal_photos/bs/2022/1/9/3otXqRQnKU2P97PTBoMw/logo-1024.png
twilio.com,https://www.twilio.com/content/dam/twilio-com/core-assets/customer-logos/t-z/twilio.svg
headsets.com,https://cdn.shopify.com/s/files/1/0553/3171/7282/files/headsets_logo_amz.jpg
3dcart.com,https://www.shift4shop.com/images/logo.png
gazelle.com,https://buy.gazelle.com/cdn/shop/files/Gazelle_straight_R_color_RGB.svg
hostway.com,https://hostway.com/wp-content/uploads/2021/03/Logo.png
verizon.net,
actonsoftware.com,https://act-on.com/
templatemonster.com,https://www.templatemonster.com
puretalkusa.com,https://puretalkusa.com/favicon.ico
wirefly.com,https://www.wirefly.com/sites/wirefly.com/themes/wirefly/images/logo.jpg
prana.com,https://www.prana.com/on/demandware.static/Sites-Prana_US-Site/-/-/images/logo-mask-1.svg
houzz.com,https://st.hzcdn.com/static/apple-touch-icon-144x144-precomposed.png
tracfone.com,https://tracfone.com/favicon.ico
bitly.com,https://bitly.com/pages/
phonepower.com,https://phonepower.com/favicon.ico
comm100.com,https://www.comm100.com/wp-content/uploads/2021/11/image/png/Comm100_Logo.jpg
rogers.com,https://www.rogers.com/app/prod/assets/i/logo.png
newhaven.edu,https://www.newhaven.edu/_resources/images/favicons/apple-touch-icon-120.png
earthlink.net,https://earthlink.net/favicon.ico
proofpoint.com,https://proofpoint.com/themes/custom/proofpoint/apps/drupal/images/favicons/favicon-192x192.png
rtrk.com,https://rtrk.com/favicon.ico
namecheap.com,https://namecheap.com/favicon.ico
avangate.com,https://avangate.com/favicon.ico
lifesize.com,https://www.enghousevideo.com/lifesize
findmespot.com,https://www.findmespot.com:443/getmedia/d1726335-255e-4262-9fdd-6fe71953eab8/favicon-48.png
ipage.com,https://ipage.com/favicon.ico
infoblox.com,https://www.infoblox.com/
toptenreviews.com,https://vanilla.futurecdn.net/toptenreviews/media/img/brand_logo.png
onstar.com,https://onstar.com/etc.clientlibs/clientlibs/onstar/resources/img/assets/favicon.ico
godish.com,https://godish.com/favicon.ico
onecallnow.com,https://www.onsolve.com/wp-content/uploads/2024/08/android-chrome-512x512-1-300x300.png
winegard.com,https://cdn11.bigcommerce.com/s-ltdyg0lu1n/product_images/WinegardFavicon.png
mediatemple.net,https://img6.wsimg.com/ux-assets/favicon/android-icon-192x192.png
quirky.com,https://quirky.com/wp-content/uploads/fbrfg/apple-touch-icon.png
box.net,https://box.net/themes/custom/box/favicons/favicon-96x96.png
good.com,https://good.com/etc.clientlibs/blackberry/clientlibs/clientlib-core/resources/blackberry/apple-touch-icon.png
niu.edu,https://niu.edu/favicon.ico
optimum.com,https://optimum.com/favicon.ico
rcn.com,https://rcn.com/wp-content/uploads/2021/10/cropped-astound-residential-fav-180x180.png
pingdom.com,https://www.pingdom.com/wp-content/uploads/2024/01/cropped-SW_Logo_Stacked_Web_Orange-192x192.png
stackexchange.com,https://stackexchange.com/favicon.ico
mophie.com,https://www.mophie.com/cdn/shop/files/spark.png
tinyurl.com,https://tinyurl.com/images/icons/favicon-128.png
kissmetrics.com,https://kissmetrics.com/favicon.ico
livehelpnow.net,https://livehelpnow.net/
webnode.com,https://d1rv23qj5kas56.cloudfront.net/img/favicon/favicon-16.svg
ooma.com,https://www.ooma.com/
case-mate.com,https://case-mate.com/cdn/shop/files/CM_Logo_2020_Word_1_782x.png
comcast.net,
stumbleupon.com,https://stumbleupon.com/favicon.ico
vagaro.com,https://vagaro.com/favicon.ico
myfax.com,https://www.myfax.com/
info.com,https://info.com/wp-content/uploads/ico/apple-touch-icon.png
gazeta.pl,https://bi.gazeta.pl/i/obrazki/awd/gazeta_white.png
findthebest.com,
spigen.com,https://www.spigen.com/cdn/shop/files/logo-spigen.svg
pgi.com,
justhost.com,https://justhost.com/favicon.ico
meraki.com,https://meraki.cisco.com/
